ds_dsei_aldeia;co_seq_dsei;ano;ativos_e_indigenas;somente_ativos
POTIGUARA;25;2024;28311;31893
POTIGUARA;25;2025;28693;32265
POTIGUARA;25;2026;28693;32265
CUIABÁ;26;2000;6059;6263
CUIABÁ;26;2001;6288;6505
CUIABÁ;26;2002;6519;6741
CUIABÁ;26;2003;6729;6963
CUIABÁ;26;2004;6934;7176
CUIABÁ;26;2005;7193;7445
CUIABÁ;26;2006;7437;7694
CUIABÁ;26;2007;7670;7929
CUIABÁ;26;2008;7901;8164
CUIABÁ;26;2009;8139;8403
CUIABÁ;26;2010;8370;8638
CUIABÁ;26;2011;8642;8913
CUIABÁ;26;2012;8882;9153
CUIABÁ;26;2013;9107;9383
CUIABÁ;26;2014;9321;9602
CUIABÁ;26;2015;9519;9803
CUIABÁ;26;2016;9715;10004
CUIABÁ;26;2017;9911;10205
CUIABÁ;26;2018;10093;10389
CUIABÁ;26;2019;10292;10590
CUIABÁ;26;2020;10529;10830
CUIABÁ;26;2021;10708;11010
CUIABÁ;26;2022;10957;11259
CUIABÁ;26;2023;11162;11464
CUIABÁ;26;2024;11322;11626
CUIABÁ;26;2025;11418;11721
CUIABÁ;26;2026;11418;11721
RIO TAPAJÓS;27;2000;5934;6091
RIO TAPAJÓS;27;2001;6232;6390
RIO TAPAJÓS;27;2002;6556;6717
RIO TAPAJÓS;27;2003;6883;7047
RIO TAPAJÓS;27;2004;7185;7355
RIO TAPAJÓS;27;2005;7553;7729
RIO TAPAJÓS;27;2006;7891;8074
RIO TAPAJÓS;27;2007;8274;8460
RIO TAPAJÓS;27;2008;8628;8819
RIO TAPAJÓS;27;2009;8995;9190
RIO TAPAJÓS;27;2010;9360;9557
RIO TAPAJÓS;27;2011;9710;9908
RIO TAPAJÓS;27;2012;10171;10369
RIO TAPAJÓS;27;2013;10534;10734
RIO TAPAJÓS;27;2014;10945;11148
RIO TAPAJÓS;27;2015;11391;11595
RIO TAPAJÓS;27;2016;11858;12062
RIO TAPAJÓS;27;2017;12352;12558
RIO TAPAJÓS;27;2018;12846;13053
RIO TAPAJÓS;27;2019;13327;13532
RIO TAPAJÓS;27;2020;13761;13966
RIO TAPAJÓS;27;2021;14271;14475
RIO TAPAJÓS;27;2022;14747;14951
RIO TAPAJÓS;27;2023;15182;15387
RIO TAPAJÓS;27;2024;15688;15889
RIO TAPAJÓS;27;2025;15954;16155
RIO TAPAJÓS;27;2026;15954;16155
MÉDIO RIO SOLIMÕES E AFLUENTES;28;2000;8443;8776
MÉDIO RIO SOLIMÕES E AFLUENTES;28;2001;8839;9185
MÉDIO RIO SOLIMÕES E AFLUENTES;28;2002;9282;9637
MÉDIO RIO SOLIMÕES E AFLUENTES;28;2003;9727;10092
MÉDIO RIO SOLIMÕES E AFLUENTES;28;2004;10172;10552
MÉDIO RIO SOLIMÕES E AFLUENTES;28;2005;10693;11083
MÉDIO RIO SOLIMÕES E AFLUENTES;28;2006;11228;11627
MÉDIO RIO SOLIMÕES E AFLUENTES;28;2007;11736;12142
MÉDIO RIO SOLIMÕES E AFLUENTES;28;2008;12276;12684
MÉDIO RIO SOLIMÕES E AFLUENTES;28;2009;12849;13260
MÉDIO RIO SOLIMÕES E AFLUENTES;28;2010;13440;13854
MÉDIO RIO SOLIMÕES E AFLUENTES;28;2011;14005;14421
MÉDIO RIO SOLIMÕES E AFLUENTES;28;2012;14583;15006
MÉDIO RIO SOLIMÕES E AFLUENTES;28;2013;15118;15545
MÉDIO RIO SOLIMÕES E AFLUENTES;28;2014;15775;16202
MÉDIO RIO SOLIMÕES E AFLUENTES;28;2015;16418;16848
MÉDIO RIO SOLIMÕES E AFLUENTES;28;2016;17034;17468
MÉDIO RIO SOLIMÕES E AFLUENTES;28;2017;17648;18084
MÉDIO RIO SOLIMÕES E AFLUENTES;28;2018;18261;18699
MÉDIO RIO SOLIMÕES E AFLUENTES;28;2019;18926;19370
MÉDIO RIO SOLIMÕES E AFLUENTES;28;2020;19463;19906
MÉDIO RIO SOLIMÕES E AFLUENTES;28;2021;20077;20522
MÉDIO RIO SOLIMÕES E AFLUENTES;28;2022;20697;21149
MÉDIO RIO SOLIMÕES E AFLUENTES;28;2023;21193;21645
MÉDIO RIO SOLIMÕES E AFLUENTES;28;2024;21778;22233
MÉDIO RIO SOLIMÕES E AFLUENTES;28;2025;22242;22700
MÉDIO RIO SOLIMÕES E AFLUENTES;28;2026;22241;22699
TOCANTINS;29;2000;5936;6372
TOCANTINS;29;2001;6182;6627
TOCANTINS;29;2002;6452;6902
TOCANTINS;29;2003;6716;7168
TOCANTINS;29;2004;6997;7457
TOCANTINS;29;2005;7276;7738
TOCANTINS;29;2006;7558;8026
TOCANTINS;29;2007;7892;8362
TOCANTINS;29;2008;8258;8730
TOCANTINS;29;2009;8571;9045
TOCANTINS;29;2010;8879;9355
TOCANTINS;29;2011;9217;9694
TOCANTINS;29;2012;9586;10062
TOCANTINS;29;2013;9994;10471
TOCANTINS;29;2014;10362;10838
TOCANTINS;29;2015;10802;11281
TOCANTINS;29;2016;11200;11681
TOCANTINS;29;2017;11557;12036
TOCANTINS;29;2018;11931;12413
TOCANTINS;29;2019;12314;12790
TOCANTINS;29;2020;12626;13103
TOCANTINS;29;2021;12961;13436
TOCANTINS;29;2022;13272;13747
TOCANTINS;29;2023;13620;14093
TOCANTINS;29;2024;13906;14378
TOCANTINS;29;2025;14110;14579
TOCANTINS;29;2026;14109;14578
VILHENA;30;2000;3188;3344
VILHENA;30;2001;3321;3481
VILHENA;30;2002;3454;3617
VILHENA;30;2003;3577;3742
VILHENA;30;2004;3743;3911
VILHENA;30;2005;3887;4055
VILHENA;30;2006;4025;4194
VILHENA;30;2007;4211;4385
VILHENA;30;2008;4380;4557
VILHENA;30;2009;4534;4712
VILHENA;30;2010;4704;4884
VILHENA;30;2011;4893;5076
VILHENA;30;2012;5078;5261
VILHENA;30;2013;5256;5443
VILHENA;30;2014;5486;5673
VILHENA;30;2015;5676;5863
VILHENA;30;2016;5876;6064
VILHENA;30;2017;6082;6273
VILHENA;30;2018;6274;6467
VILHENA;30;2019;6477;6672
VILHENA;30;2020;6631;6827
VILHENA;30;2021;6798;6994
VILHENA;30;2022;6960;7156
VILHENA;30;2023;7147;7342
VILHENA;30;2024;7299;7490
VILHENA;30;2025;7393;7585
VILHENA;30;2026;7393;7585
XAVANTE;31;2000;10092;10101
XAVANTE;31;2001;10575;10584
XAVANTE;31;2002;11079;11088
XAVANTE;31;2003;11559;11568
XAVANTE;31;2004;12102;12111
XAVANTE;31;2005;12669;12678
XAVANTE;31;2006;13255;13264
XAVANTE;31;2007;13831;13840
XAVANTE;31;2008;14439;14448
XAVANTE;31;2009;15069;15078
XAVANTE;31;2010;15679;15688
XAVANTE;31;2011;16339;16348
XAVANTE;31;2012;16978;16987
XAVANTE;31;2013;17689;17698
XAVANTE;31;2014;18402;18411
XAVANTE;31;2015;19096;19105
XAVANTE;31;2016;19777;19786
XAVANTE;31;2017;20523;20532
XAVANTE;31;2018;21322;21331
XAVANTE;31;2019;22159;22168
XAVANTE;31;2020;22848;22857
XAVANTE;31;2021;23666;23674
XAVANTE;31;2022;24537;24545
XAVANTE;31;2023;25321;25329
XAVANTE;31;2024;26096;26104
XAVANTE;31;2025;26851;26860
XAVANTE;31;2026;26851;26860
XINGU;32;2000;3965;3980
XINGU;32;2001;4148;4163
XINGU;32;2002;4330;4345
XINGU;32;2003;4512;4527
XINGU;32;2004;4703;4718
XINGU;32;2005;4938;4953
XINGU;32;2006;5141;5156
XINGU;32;2007;5358;5373
XINGU;32;2008;5573;5589
XINGU;32;2009;5787;5803
XINGU;32;2010;5995;6011
XINGU;32;2011;6224;6240
XINGU;32;2012;6466;6482
XINGU;32;2013;6710;6726
XINGU;32;2014;6927;6943
XINGU;32;2015;7166;7182
XINGU;32;2016;7356;7372
XINGU;32;2017;7561;7577
XINGU;32;2018;7771;7787
XINGU;32;2019;8001;8017
XINGU;32;2020;8230;8246
XINGU;32;2021;8440;8456
XINGU;32;2022;8688;8704
XINGU;32;2023;8916;8932
XINGU;32;2024;9146;9162
XINGU;32;2025;9328;9345
XINGU;32;2026;9328;9345
YANOMAMI;33;2000;13250;13251
YANOMAMI;33;2001;13904;13905
YANOMAMI;33;2002;14558;14559
YANOMAMI;33;2003;15236;15237
YANOMAMI;33;2004;16016;16017
YANOMAMI;33;2005;16751;16752
YANOMAMI;33;2006;17533;17534
YANOMAMI;33;2007;18241;18242
YANOMAMI;33;2008;18949;18950
YANOMAMI;33;2009;19875;19876
YANOMAMI;33;2010;20739;20740
YANOMAMI;33;2011;21468;21469
YANOMAMI;33;2012;22452;22453
YANOMAMI;33;2013;23322;23323
YANOMAMI;33;2014;24166;24167
YANOMAMI;33;2015;25230;25231
YANOMAMI;33;2016;26309;26310
YANOMAMI;33;2017;27176;27177
YANOMAMI;33;2018;28320;28321
YANOMAMI;33;2019;29603;29604
YANOMAMI;33;2020;30706;30707
YANOMAMI;33;2021;31700;31702
YANOMAMI;33;2022;32849;32851
YANOMAMI;33;2023;33779;33780
YANOMAMI;33;2024;34783;34784
YANOMAMI;33;2025;35768;35769
YANOMAMI;33;2026;35772;35773
KAIAPÓ DO MATO GROSSO;34;2000;3478;3523
KAIAPÓ DO MATO GROSSO;34;2001;3670;3716
KAIAPÓ DO MATO GROSSO;34;2002;3816;3864
KAIAPÓ DO MATO GROSSO;34;2003;3987;4035
KAIAPÓ DO MATO GROSSO;34;2004;4156;4205
KAIAPÓ DO MATO GROSSO;34;2005;4348;4398
KAIAPÓ DO MATO GROSSO;34;2006;4475;4526
KAIAPÓ DO MATO GROSSO;34;2007;4599;4650
KAIAPÓ DO MATO GROSSO;34;2008;4720;4771
KAIAPÓ DO MATO GROSSO;34;2009;4848;4899
KAIAPÓ DO MATO GROSSO;34;2010;4977;5030
KAIAPÓ DO MATO GROSSO;34;2011;5108;5161
KAIAPÓ DO MATO GROSSO;34;2012;5249;5302
KAIAPÓ DO MATO GROSSO;34;2013;5390;5443
KAIAPÓ DO MATO GROSSO;34;2014;5529;5582
KAIAPÓ DO MATO GROSSO;34;2015;5694;5747
KAIAPÓ DO MATO GROSSO;34;2016;5841;5895
KAIAPÓ DO MATO GROSSO;34;2017;5995;6050
KAIAPÓ DO MATO GROSSO;34;2018;6172;6227
KAIAPÓ DO MATO GROSSO;34;2019;6320;6375
KAIAPÓ DO MATO GROSSO;34;2020;6452;6507
KAIAPÓ DO MATO GROSSO;34;2021;6598;6653
KAIAPÓ DO MATO GROSSO;34;2022;6733;6788
KAIAPÓ DO MATO GROSSO;34;2023;6877;6932
KAIAPÓ DO MATO GROSSO;34;2024;7038;7093
KAIAPÓ DO MATO GROSSO;34;2025;7096;7151
KAIAPÓ DO MATO GROSSO;34;2026;7096;7151
LITORAL SUL;35;2000;12140;12719
LITORAL SUL;35;2001;12797;13380
LITORAL SUL;35;2002;13455;14050
LITORAL SUL;35;2003;14100;14704
LITORAL SUL;35;2004;14704;15312
LITORAL SUL;35;2005;15337;15954
LITORAL SUL;35;2006;15985;16605
LITORAL SUL;35;2007;16530;17153
LITORAL SUL;35;2008;17120;17749
LITORAL SUL;35;2009;17638;18272
LITORAL SUL;35;2010;18146;18780
LITORAL SUL;35;2011;18668;19308
LITORAL SUL;35;2012;19215;19858
LITORAL SUL;35;2013;19683;20328
LITORAL SUL;35;2014;20172;20819
LITORAL SUL;35;2015;20693;21343
LITORAL SUL;35;2016;21161;21813
LITORAL SUL;35;2017;21636;22287
LITORAL SUL;35;2018;22129;22785
LITORAL SUL;35;2019;22581;23241
LITORAL SUL;35;2020;23039;23699
LITORAL SUL;35;2021;23428;24089
LITORAL SUL;35;2022;23854;24515
LITORAL SUL;35;2023;24179;24842
LITORAL SUL;35;2024;24496;25160
LITORAL SUL;35;2025;24610;25274
LITORAL SUL;35;2026;24610;25274
INTERIOR SUL;36;2000;43260;45216
INTERIOR SUL;36;2001;45389;47398
INTERIOR SUL;36;2002;47581;49653
INTERIOR SUL;36;2003;49646;51760
INTERIOR SUL;36;2004;51603;53761
INTERIOR SUL;36;2005;53680;55876
INTERIOR SUL;36;2006;55649;57870
INTERIOR SUL;36;2007;57220;59464
INTERIOR SUL;36;2008;58584;60846
INTERIOR SUL;36;2009;60161;62449
INTERIOR SUL;36;2010;61695;64001
INTERIOR SUL;36;2011;63239;65564
INTERIOR SUL;36;2012;64772;67115
INTERIOR SUL;36;2013;66465;68833
INTERIOR SUL;36;2014;68077;70460
INTERIOR SUL;36;2015;69814;72220
INTERIOR SUL;36;2016;71493;73911
INTERIOR SUL;36;2017;72915;75346
INTERIOR SUL;36;2018;74317;76765
INTERIOR SUL;36;2019;75757;78219
INTERIOR SUL;36;2020;77088;79564
INTERIOR SUL;36;2021;78302;80779
INTERIOR SUL;36;2022;79498;81982
INTERIOR SUL;36;2023;80720;83205
INTERIOR SUL;36;2024;81697;84173
INTERIOR SUL;36;2025;82112;84577
INTERIOR SUL;36;2026;82109;84573
