ds_dsei;co_seq_dsei;ano;ativos_e_indigenas;somente_ativos
ALTAMIRA;3;2017;4588;5274
MINAS GERAIS E ESPÍRITO SANTO;11;2017;21687;23405
ALAGOAS E SERGIPE;1;2017;19564;22018
PORTO VELHO;24;2017;13178;13830
POTIGUARA;25;2018;28146;32251
LESTE DE RORAIMA;15;2018;74500;75518
ALTO RIO SOLIMÕES;7;2018;81463;82063
KAIAPÓ DO MATO GROSSO;34;2018;7184;7241
MÉDIO RIO SOLIMÕES E AFLUENTES;28;2018;26763;27446
MÉDIO RIO PURUS;21;2018;11648;12452
VALE DO JAVARI;12;2018;6835;6851
MARANHÃO;19;2018;48499;49641
BAHIA;9;2018;47797;50623
MATO GROSSO DO SUL;20;2018;105640;107160
TOCANTINS;29;2018;14359;15057
PERNAMBUCO;23;2018;66368;68652
ALTO RIO PURUS;5;2018;17137;17598
YANOMAMI;33;2018;31885;31886
CEARÁ;10;2018;36659;39091
XAVANTE;31;2018;23984;23993
CUIABÁ;26;2018;10791;11081
MANAUS;17;2018;44564;46534
KAIAPÓ DO PARÁ;13;2018;6781;6791
AMAPÁ E NORTE DO PARÁ;2;2018;13511;13514
PARINTINS;22;2018;17542;17793
ALTO RIO JURUÁ;4;2018;20326;20490
ARAGUAIA;8;2018;5811;5987
GUAMÁ-TOCANTINS;18;2018;25674;26998
RIO TAPAJÓS;27;2018;14056;14279
INTERIOR SUL;36;2018;63764;65899
ALTO RIO NEGRO;6;2018;42254;42791
XINGU;32;2018;8223;8240
LITORAL SUL;35;2018;18036;18682
VILHENA;30;2018;8902;9431
ALTAMIRA;3;2018;4740;5433
MINAS GERAIS E ESPÍRITO SANTO;11;2018;22168;23895
ALAGOAS E SERGIPE;1;2018;19861;22318
PORTO VELHO;24;2018;13488;14144
VALE DO JAVARI;12;2019;7056;7072
POTIGUARA;25;2019;28769;32878
ALTO RIO SOLIMÕES;7;2019;83964;84572
LESTE DE RORAIMA;15;2019;76812;77842
MÉDIO RIO SOLIMÕES E AFLUENTES;28;2019;27623;28314
MÉDIO RIO PURUS;21;2019;11948;12757
KAIAPÓ DO MATO GROSSO;34;2019;7376;7433
MARANHÃO;19;2019;50124;51267
VILHENA;30;2019;9184;9716
MATO GROSSO DO SUL;20;2019;107322;108846
BAHIA;9;2019;48465;51295
TOCANTINS;29;2019;14814;15512
PERNAMBUCO;23;2019;66920;69211
ALTO RIO PURUS;5;2019;17713;18177
CEARÁ;10;2019;37290;39722
YANOMAMI;33;2019;33404;33405
XAVANTE;31;2019;24970;24979
CUIABÁ;26;2019;11028;11320
MANAUS;17;2019;45463;47477
KAIAPÓ DO PARÁ;13;2019;7014;7024
AMAPÁ E NORTE DO PARÁ;2;2019;13930;13933
PARINTINS;22;2019;18137;18389
ALTO RIO JURUÁ;4;2019;20924;21093
ARAGUAIA;8;2019;5993;6169
GUAMÁ-TOCANTINS;18;2019;26410;27736
RIO TAPAJÓS;27;2019;14576;14799
ALTO RIO NEGRO;6;2019;43249;43797
INTERIOR SUL;36;2019;65122;67276
XINGU;32;2019;8486;8503
LITORAL SUL;35;2019;18383;19032
PORTO VELHO;24;2019;13820;14476
ALTAMIRA;3;2019;4900;5600
MINAS GERAIS E ESPÍRITO SANTO;11;2019;22673;24410
ALAGOAS E SERGIPE;1;2019;20157;22617
MARANHÃO;19;2020;51729;52872
POTIGUARA;25;2020;29321;33432
VALE DO JAVARI;12;2020;7267;7283
LESTE DE RORAIMA;15;2020;79233;80272
ALTO RIO SOLIMÕES;7;2020;86477;87087
MÉDIO RIO SOLIMÕES E AFLUENTES;28;2020;28328;29020
KAIAPÓ DO MATO GROSSO;34;2020;7553;7610
MÉDIO RIO PURUS;21;2020;12233;13045
LITORAL SUL;35;2020;18705;19355
VILHENA;30;2020;9397;9932
MATO GROSSO DO SUL;20;2020;108989;110521
BAHIA;9;2020;49136;51970
TOCANTINS;29;2020;15198;15897
PERNAMBUCO;23;2020;67338;69635
ALTO RIO PURUS;5;2020;18261;18725
YANOMAMI;33;2020;34824;34825
CEARÁ;10;2020;37869;40302
XAVANTE;31;2020;25867;25876
CUIABÁ;26;2020;11319;11613
MANAUS;17;2020;46339;48421
AMAPÁ E NORTE DO PARÁ;2;2020;14311;14314
KAIAPÓ DO PARÁ;13;2020;7246;7256
PARINTINS;22;2020;18712;18966
ALTO RIO JURUÁ;4;2020;21553;21722
ARAGUAIA;8;2020;6156;6332
GUAMÁ-TOCANTINS;18;2020;27087;28417
RIO TAPAJÓS;27;2020;15081;15305
INTERIOR SUL;36;2020;66374;68542
ALTO RIO NEGRO;6;2020;44256;44813
XINGU;32;2020;8738;8755
PORTO VELHO;24;2020;14126;14784
ALAGOAS E SERGIPE;1;2020;20453;22915
MINAS GERAIS E ESPÍRITO SANTO;11;2020;23155;24896
ALTAMIRA;3;2020;5053;5759
MARANHÃO;19;2021;53444;54588
MÉDIO RIO PURUS;21;2021;12527;13343
VALE DO JAVARI;12;2021;7494;7510
POTIGUARA;25;2021;29907;34020
LESTE DE RORAIMA;15;2021;81485;82535
ALTO RIO SOLIMÕES;7;2021;88760;89376
MÉDIO RIO SOLIMÕES E AFLUENTES;28;2021;29100;29796
KAIAPÓ DO MATO GROSSO;34;2021;7745;7802
LITORAL SUL;35;2021;18988;19639
XINGU;32;2021;8988;9005
VILHENA;30;2021;9624;10159
MATO GROSSO DO SUL;20;2021;110598;112136
BAHIA;9;2021;49751;52589
TOCANTINS;29;2021;15607;16308
PERNAMBUCO;23;2021;67787;70092
ALTO RIO PURUS;5;2021;18796;19262
YANOMAMI;33;2021;36184;36186
XAVANTE;31;2021;26905;26914
CEARÁ;10;2021;38406;40840
CUIABÁ;26;2021;11571;11867
MANAUS;17;2021;47191;49308
KAIAPÓ DO PARÁ;13;2021;7473;7483
AMAPÁ E NORTE DO PARÁ;2;2021;14731;14734
PARINTINS;22;2021;19308;19564
ALTO RIO JURUÁ;4;2021;22294;22464
ARAGUAIA;8;2021;6301;6477
RIO TAPAJÓS;27;2021;15669;15893
GUAMÁ-TOCANTINS;18;2021;27789;29125
INTERIOR SUL;36;2021;67602;69778
ALTO RIO NEGRO;6;2021;45188;45750
ALTAMIRA;3;2021;5230;5939
ALAGOAS E SERGIPE;1;2021;20630;23092
MINAS GERAIS E ESPÍRITO SANTO;11;2021;23689;25432
PORTO VELHO;24;2021;14463;15124
KAIAPÓ DO MATO GROSSO;34;2022;7923;7980
MÉDIO RIO PURUS;21;2022;12861;13679
VALE DO JAVARI;12;2022;7748;7764
MARANHÃO;19;2022;55069;56216
POTIGUARA;25;2022;30445;34558
LESTE DE RORAIMA;15;2022;83766;84823
ALTO RIO SOLIMÕES;7;2022;91248;91875
MÉDIO RIO SOLIMÕES E AFLUENTES;28;2022;29863;30567
ALTO RIO NEGRO;6;2022;46102;46670
XINGU;32;2022;9265;9282
LITORAL SUL;35;2022;19255;19906
VILHENA;30;2022;9826;10361
MATO GROSSO DO SUL;20;2022;111917;113462
BAHIA;9;2022;50352;53195
PERNAMBUCO;23;2022;68128;70435
TOCANTINS;29;2022;15996;16697
ALTO RIO PURUS;5;2022;19287;19757
YANOMAMI;33;2022;37638;37640
CEARÁ;10;2022;38929;41366
XAVANTE;31;2022;27995;28004
CUIABÁ;26;2022;11879;12175
MANAUS;17;2022;48029;50172
KAIAPÓ DO PARÁ;13;2022;7655;7665
AMAPÁ E NORTE DO PARÁ;2;2022;15130;15133
PARINTINS;22;2022;19918;20176
ALTO RIO JURUÁ;4;2022;22846;23021
ARAGUAIA;8;2022;6485;6662
GUAMÁ-TOCANTINS;18;2022;28454;29795
RIO TAPAJÓS;27;2022;16204;16429
INTERIOR SUL;36;2022;68512;70694
PORTO VELHO;24;2022;14822;15485
ALTAMIRA;3;2022;5365;6077
ALAGOAS E SERGIPE;1;2022;20785;23247
MINAS GERAIS E ESPÍRITO SANTO;11;2022;24191;25936
MÉDIO RIO SOLIMÕES E AFLUENTES;28;2023;30548;31256
MÉDIO RIO PURUS;21;2023;13149;13968
KAIAPÓ DO MATO GROSSO;34;2023;8099;8156
MARANHÃO;19;2023;56532;57684
POTIGUARA;25;2023;30942;35056
VALE DO JAVARI;12;2023;7929;7946
LESTE DE RORAIMA;15;2023;85706;86763
ALTO RIO SOLIMÕES;7;2023;92801;93434
ALTO RIO NEGRO;6;2023;46883;47451
INTERIOR SUL;36;2023;69298;71488
XINGU;32;2023;9519;9536
VILHENA;30;2023;10048;10583
LITORAL SUL;35;2023;19467;20122
MATO GROSSO DO SUL;20;2023;112838;114387
BAHIA;9;2023;50873;53718
TOCANTINS;29;2023;16408;17109
PERNAMBUCO;23;2023;68397;70706
ALTO RIO PURUS;5;2023;19657;20129
YANOMAMI;33;2023;38983;38985
CEARÁ;10;2023;39422;41860
CUIABÁ;26;2023;12148;12445
XAVANTE;31;2023;29024;29033
MANAUS;17;2023;48692;50859
KAIAPÓ DO PARÁ;13;2023;7800;7811
AMAPÁ E NORTE DO PARÁ;2;2023;15557;15560
PARINTINS;22;2023;20470;20728
ALTO RIO JURUÁ;4;2023;23383;23559
ARAGUAIA;8;2023;6608;6785
GUAMÁ-TOCANTINS;18;2023;28985;30331
RIO TAPAJÓS;27;2023;16694;16920
ALTAMIRA;3;2023;5508;6221
ALAGOAS E SERGIPE;1;2023;20937;23400
MINAS GERAIS E ESPÍRITO SANTO;11;2023;24599;26349
PORTO VELHO;24;2023;15180;15845
ALTO RIO SOLIMÕES;7;2024;93820;94454
MÉDIO RIO SOLIMÕES E AFLUENTES;28;2024;31298;32009
KAIAPÓ DO MATO GROSSO;34;2024;8278;8335
MÉDIO RIO PURUS;21;2024;13464;14284
MARANHÃO;19;2024;57831;58987
VALE DO JAVARI;12;2024;8123;8140
POTIGUARA;25;2024;31423;35538
LESTE DE RORAIMA;15;2024;87285;88343
RIO TAPAJÓS;27;2024;17236;17462
INTERIOR SUL;36;2024;69939;72134
ALTO RIO NEGRO;6;2024;47688;48260
XINGU;32;2024;9782;9799
LITORAL SUL;35;2024;19678;20334
VILHENA;30;2024;10169;10705
MATO GROSSO DO SUL;20;2024;113750;115300
BAHIA;9;2024;51315;54162
TOCANTINS;29;2024;16712;17414
ALTO RIO PURUS;5;2024;19966;20439
PERNAMBUCO;23;2024;68573;70883
YANOMAMI;33;2024;40349;40351
CEARÁ;10;2024;39891;42329
XAVANTE;31;2024;30019;30028
CUIABÁ;26;2024;12372;12673
MANAUS;17;2024;49333;51543
KAIAPÓ DO PARÁ;13;2024;7940;7951
AMAPÁ E NORTE DO PARÁ;2;2024;15892;15895
PARINTINS;22;2024;21006;21265
ALTO RIO JURUÁ;4;2024;23675;23852
ARAGUAIA;8;2024;6724;6901
GUAMÁ-TOCANTINS;18;2024;29428;30776
ALTAMIRA;3;2024;5648;6365
ALAGOAS E SERGIPE;1;2024;21034;23497
MINAS GERAIS E ESPÍRITO SANTO;11;2024;24971;26721
PORTO VELHO;24;2024;15509;16174
LESTE DE RORAIMA;15;2025;88268;89326
ALTO RIO SOLIMÕES;7;2025;94171;94806
MÉDIO RIO SOLIMÕES E AFLUENTES;28;2025;31838;32550
KAIAPÓ DO MATO GROSSO;34;2025;8356;8413
MÉDIO RIO PURUS;21;2025;13488;14308
MARANHÃO;19;2025;58486;59646
VALE DO JAVARI;12;2025;8263;8280
POTIGUARA;25;2025;31831;35946
GUAMÁ-TOCANTINS;18;2025;29709;31057
RIO TAPAJÓS;27;2025;17463;17689
INTERIOR SUL;36;2025;70050;72245
ALTO RIO NEGRO;6;2025;48200;48774
XINGU;32;2025;9991;10009
LITORAL SUL;35;2025;19736;20392
VILHENA;30;2025;10227;10764
MATO GROSSO DO SUL;20;2025;114215;115765
BAHIA;9;2025;51554;54401
TOCANTINS;29;2025;16794;17496
PERNAMBUCO;23;2025;68625;70935
ALTO RIO PURUS;5;2025;20053;20526
YANOMAMI;33;2025;41314;41316
CEARÁ;10;2025;40257;42695
XAVANTE;31;2025;30945;30955
MANAUS;17;2025;49800;52043
CUIABÁ;26;2025;12459;12760
KAIAPÓ DO PARÁ;13;2025;8023;8034
AMAPÁ E NORTE DO PARÁ;2;2025;15909;15912
PARINTINS;22;2025;21392;21652
ALTO RIO JURUÁ;4;2025;23734;23911
ARAGUAIA;8;2025;6737;6914
ALAGOAS E SERGIPE;1;2025;21072;23535
MINAS GERAIS E ESPÍRITO SANTO;11;2025;25129;26879
ALTAMIRA;3;2025;5721;6440
PORTO VELHO;24;2025;15695;16361
POTIGUARA;25;2026;31831;35946
LESTE DE RORAIMA;15;2026;88268;89326
ALTO RIO SOLIMÕES;7;2026;94171;94806
MÉDIO RIO SOLIMÕES E AFLUENTES;28;2026;31838;32550
KAIAPÓ DO MATO GROSSO;34;2026;8356;8413
MÉDIO RIO PURUS;21;2026;13488;14308
MARANHÃO;19;2026;58486;59646
VALE DO JAVARI;12;2026;8263;8280
ARAGUAIA;8;2026;6737;6914
GUAMÁ-TOCANTINS;18;2026;29710;31058
RIO TAPAJÓS;27;2026;17463;17689
ALTO RIO NEGRO;6;2026;48200;48774
INTERIOR SUL;36;2026;70050;72245
XINGU;32;2026;9991;10009
VILHENA;30;2026;10227;10764
LITORAL SUL;35;2026;19736;20392
MATO GROSSO DO SUL;20;2026;114215;115765
BAHIA;9;2026;51555;54402
TOCANTINS;29;2026;16794;17496
PERNAMBUCO;23;2026;68625;70935
ALTO RIO PURUS;5;2026;20053;20526
YANOMAMI;33;2026;41314;41316
CEARÁ;10;2026;40257;42695
XAVANTE;31;2026;30945;30955
CUIABÁ;26;2026;12459;12760
MANAUS;17;2026;49800;52043
KAIAPÓ DO PARÁ;13;2026;8023;8034
AMAPÁ E NORTE DO PARÁ;2;2026;15909;15912
PARINTINS;22;2026;21392;21652
ALTO RIO JURUÁ;4;2026;23734;23911
ALAGOAS E SERGIPE;1;2026;21072;23535
PORTO VELHO;24;2026;15695;16361
MINAS GERAIS E ESPÍRITO SANTO;11;2026;25129;26879
ALTAMIRA;3;2026;5721;6440
NA;;2000;19110;21705
NA;;2001;20077;22794
NA;;2002;21117;23957
NA;;2003;22150;25081
NA;;2004;23171;26194
NA;;2005;24195;27315
NA;;2006;25187;28395
NA;;2007;26016;29299
NA;;2008;26805;30147
NA;;2009;27662;31050
NA;;2010;28471;31901
NA;;2011;29290;32760
NA;;2012;30169;33664
NA;;2013;31282;34814
NA;;2014;32727;36296
NA;;2015;34042;37668
NA;;2016;35595;39269
NA;;2017;37293;41000
NA;;2018;38833;42583
NA;;2019;40487;44278
NA;;2020;42324;46157
NA;;2021;44404;48266
NA;;2022;47268;51160
NA;;2023;50932;54844
NA;;2024;55438;59371
NA;;2025;61791;65741
NA;;2026;61823;65773
